Hash,Message,Filename,Source Code (before),Source Code (current),Diff
e079d3fa351889087f55edb68769b67682ceacf3,Fix deprecated syntax (#381),test/test_exit_code.py,,,"@@ -18,7 +18,7 @@ class TestExitCode(unittest.TestCase):
             ofile.write(s)
             ofile.flush()
             sys.argv = ['<ignored>', '--exit-code', tmpfile.name]
-            self.assertRaisesRegex(SystemExit, '0', self.run_action)
+            self.assertRaisesRegexp(SystemExit, '0', self.run_action)
 
     def test_exit_code_fail(self):
         s = ""raise RuntimeError('I am not working nicely')""
@@ -27,7 +27,7 @@ class TestExitCode(unittest.TestCase):
             ofile.write(s)
             ofile.flush()
             sys.argv = ['<ignored>', '--exit-code', tmpfile.name]
-            self.assertRaisesRegex(SystemExit, '1', self.run_action)
+            self.assertRaisesRegexp(SystemExit, '1', self.run_action)
 
     def test_no_exit_code_success(self):
         s = ""raise RuntimeError('I am not working nicely')""
"
940aa76f5da8b7cba5938f17990da054e013de0a,Fix deprecated syntax,test/test_exit_code.py,,,"@@ -18,7 +18,7 @@ class TestExitCode(unittest.TestCase):
             ofile.write(s)
             ofile.flush()
             sys.argv = ['<ignored>', '--exit-code', tmpfile.name]
-            self.assertRaisesRegex(SystemExit, '0', self.run_action)
+            self.assertRaisesRegexp(SystemExit, '0', self.run_action)
 
     def test_exit_code_fail(self):
         s = ""raise RuntimeError('I am not working nicely')""
@@ -27,7 +27,7 @@ class TestExitCode(unittest.TestCase):
             ofile.write(s)
             ofile.flush()
             sys.argv = ['<ignored>', '--exit-code', tmpfile.name]
-            self.assertRaisesRegex(SystemExit, '1', self.run_action)
+            self.assertRaisesRegexp(SystemExit, '1', self.run_action)
 
     def test_no_exit_code_success(self):
         s = ""raise RuntimeError('I am not working nicely')""
"
f9262590da28ccd4d6ff00755e7bc952f4044a9a,"Merge pull request #379 from pythonprofilers/tests_back_to_cpython_3.5

test back to CPython 3.5",test/test_async.py,,,"@@ -1,5 +1,4 @@
 import asyncio
-import sys
 
 from memory_profiler import profile
 
@@ -15,13 +14,5 @@ async def main():
     task = asyncio.create_task(my_func())
     res = await asyncio.gather(task)
 
-async def main_legacy():
-    future = asyncio.ensure_future(my_func())
-    res = await asyncio.gather(future)
-
 if __name__ == '__main__':
-    if sys.version_info >= (3, 7):
-        asyncio.run(main())  # main loop
-    else:
-        loop = asyncio.get_event_loop()
-        loop.run_until_complete(main_legacy())
+    asyncio.run(main())  # main loop
"
7b6eae7336573635531da097c77200aa26929179,test back to CPython 3.5,test/test_async.py,,,"@@ -1,5 +1,4 @@
 import asyncio
-import sys
 
 from memory_profiler import profile
 
@@ -15,13 +14,5 @@ async def main():
     task = asyncio.create_task(my_func())
     res = await asyncio.gather(task)
 
-async def main_legacy():
-    future = asyncio.ensure_future(my_func())
-    res = await asyncio.gather(future)
-
 if __name__ == '__main__':
-    if sys.version_info >= (3, 7):
-        asyncio.run(main())  # main loop
-    else:
-        loop = asyncio.get_event_loop()
-        loop.run_until_complete(main_legacy())
+    asyncio.run(main())  # main loop
"
